AnnoS;CorsoTIPO;SESSO;Lau
2010;Laurea Magistrale a Ciclo Unico - dm 270/04;M;3464
2010;Laurea Magistrale - dm 270/04;M;3691
2010;Laurea Specialistica - dm 509/99;M;30782
2010;Laurea Magistrale - dm 270/04;F;5599
2010;Corso di Laurea - vecchio ordinamento;F;12381
2010;Laurea - dm 270/04;F;2731
2010;Corso di Laurea - vecchio ordinamento;M;6332
2010;Laurea  - dm 509/99;F;92583
2010;Laurea Magistrale a Ciclo Unico - dm 270/04;F;5461
2009;Laurea Specialistica - dm 509/99;M;32430
2009;Corso di Laurea - vecchio ordinamento;F;17799
2009;Laurea  - dm 509/99;M;73104
2009;Laurea - dm 270/04;F;574
2009;Laurea Specialistica a Ciclo Unico - dm 509/99;M;4020
2009;Laurea Magistrale a Ciclo Unico - dm 270/04;F;3633
2009;Corso di Laurea - vecchio ordinamento;M;10216
2009;Laurea  - dm 509/99;F;97423
2009;Laurea Magistrale - dm 270/04;M;285
2009;Laurea - dm 270/04;M;503
2009;Laurea Specialistica a Ciclo Unico - dm 509/99;F;7259
2009;Laurea Magistrale - dm 270/04;F;223
2009;Laurea Specialistica - dm 509/99;F;43022
2009;Laurea Magistrale a Ciclo Unico - dm 270/04;M;2319
2008;Laurea Magistrale - dm 270/04;F;3
2008;Laurea Magistrale a Ciclo Unico - dm 270/04;F;1748
2008;Corso di Laurea - vecchio ordinamento;M;15881
2008;Laurea Specialistica - dm 509/99;M;29374
2008;Laurea  - dm 509/99;F;98164
2008;Laurea Specialistica - dm 509/99;F;37828
2008;Laurea Specialistica a Ciclo Unico - dm 509/99;F;6975
2008;Laurea Magistrale a Ciclo Unico - dm 270/04;M;1117
2008;Laurea Specialistica a Ciclo Unico - dm 509/99;M;3788
2008;Laurea  - dm 509/99;M;74890
2008;Corso di Laurea - vecchio ordinamento;F;25209
2007;Laurea Specialistica a Ciclo Unico - dm 509/99;F;6423
2007;Laurea Magistrale a Ciclo Unico - dm 270/04;F;298
2007;Corso di Laurea - vecchio ordinamento;M;24970
2007;Laurea Specialistica - dm 509/99;M;23364
2007;Laurea Magistrale a Ciclo Unico - dm 270/04;M;204
2007;Laurea  - dm 509/99;M;74200
2007;Corso di Laurea - vecchio ordinamento;F;39339
2007;Laurea Specialistica - dm 509/99;F;28586
2007;Laurea Specialistica a Ciclo Unico - dm 509/99;M;3279
2007;Laurea  - dm 509/99;F;99468
2006;Corso di Laurea - vecchio ordinamento;F;59399
2006;Laurea  - dm 509/99;M;68933
2006;Corso di Laurea - vecchio ordinamento;M;41489
2006;Laurea Specialistica a Ciclo Unico - dm 509/99;M;2891
2006;Laurea Specialistica - dm 509/99;F;15892
2006;Laurea Specialistica a Ciclo Unico - dm 509/99;F;5467
2006;Laurea Specialistica - dm 509/99;M;14793
2006;Laurea  - dm 509/99;F;92512
2005;Laurea Specialistica - dm 509/99;F;5619
2005;Laurea  - dm 509/99;M;60182
2005;Corso di Laurea - vecchio ordinamento;F;84201
2005;Laurea Specialistica a Ciclo Unico - dm 509/99;F;4484
2005;Corso di Laurea - vecchio ordinamento;M;60481
2005;Laurea Specialistica - dm 509/99;M;5725
2005;Laurea Specialistica a Ciclo Unico - dm 509/99;M;2481
2005;Laurea  - dm 509/99;F;78125
2004;Laurea Specialistica a Ciclo Unico - dm 509/99;M;2369
2004;Laurea  - dm 509/99;F;52385
2004;Corso di Laurea - vecchio ordinamento;F;96349
2004;Laurea  - dm 509/99;M;39919
2004;Laurea Specialistica - dm 509/99;M;3213
2004;Laurea Specialistica - dm 509/99;F;1723
2004;Corso di Laurea - vecchio ordinamento;M;68622
2004;Laurea Specialistica a Ciclo Unico - dm 509/99;F;4241
2003;Corso di Laurea - vecchio ordinamento;F;99669
2003;Laurea Specialistica - dm 509/99;M;2809
2003;Corso di Laurea - vecchio ordinamento;M;73393
2003;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1908
2003;Laurea  - dm 509/99;M;25245
2003;Laurea Specialistica - dm 509/99;F;666
2003;Laurea  - dm 509/99;F;27836
2003;Laurea Specialistica a Ciclo Unico - dm 509/99;F;3413
2002;Laurea Specialistica - dm 509/99;F;85
2002;Laurea Specialistica a Ciclo Unico - dm 509/99;F;507
2002;Corso di Laurea - vecchio ordinamento;M;76836
2002;Laurea  - dm 509/99;M;10885
2002;Laurea  - dm 509/99;F;11419
2002;Laurea Specialistica a Ciclo Unico - dm 509/99;M;196
2002;Corso di Laurea - vecchio ordinamento;F;101062
2002;Laurea Specialistica - dm 509/99;M;128
2001;Laurea  - dm 509/99;F;562
2001;Corso di Laurea - vecchio ordinamento;F;96619
2001;Laurea  - dm 509/99;M;705
2001;Laurea Specialistica - dm 509/99;M;5
2001;Corso di Laurea - vecchio ordinamento;M;73913
2001;Laurea Specialistica - dm 509/99;F;2
